Year,Facility,Attendance
2015,Steuben Memorial,0
2015,Sampson St Pk,188355
2015,Deans Cove Boat Launch,15891
2015,John Jay Homestead,62140
2015,Buffalo Harbor St Pk & Marina,134254
2015,Delta Lake St Pk,212431
2015,Deveaux Woods,62282
2015,Robert Moses St Pk,3956941
2015,Robert Moses St Pk,95080
2015,Stony Point Battlefield,35121
2015,Lake Welch,366308
2015,Buckhorn,32950
2015,Devils Hole,150369
2015,Robert H Treman St Pk,300129
2015,Anthony Wayne,102455
2015,Storm King,11673
2015,Dewolf Point,16378
2015,John Burroughs Memorial,2412
2015,Riverbank State Park,2704678
2015,Durand Eastman,23982
2015,Brookhaven State Park,0
2015,Riverbank Rollr-Ice Rnks,389143
2015,Eel Weir St Park,3636
2015,Empire Fulton Ferry,0
2015,Letchworth State Park,852173
2015,Roberto Clemente,1077331
2015,Sunken Meadow St Pk,2210157
2015,Darien Lakes State Park,77799
2015,Rockefeller Preserve,379940
2015,Camp Hero,107555
2015,Conesus Lake Boat Launch,23637
2015,Connetquot River St Pk,213416
2015,Sag Harbour,24975
2015,Allegany Red House Area,750751
2015,Copake Falls,321215
2015,Lake Superior,12666
2015,Sackets Harbor Btl Field,77208
2015,St Lawrence Golf Course,0
2015,Jones Beach,5876186
2015,Caleb Smith State Park,31748
2015,Coxsackie,0
2015,Rudd Pond,21201
2015,Buttermilk Falls St Pk,241370
2015,Crailo,14734
2015,Rockland Lake State Park,494634
2015,Stony Brook St Pk,173973
2015,Crown Point,24664
2015,Wilson Hill Boat Launch,8932
2015,Rock Island,7209
2015,Lake Taghkanic St Park,238646
2015,Cumberland Bay St Pk,43139
2015,Burnham Pnt River Park,12219
2015,Stony Creek,35987
2015,Bonavista Golf Course,0
2015,Silver Lake,23060
2015,Gilbert Lake St Pk,92813
2015,Irondquoit Bay Boat Lnch,46197
2015,Nissequogue River,138136
2015,Black Lk Boat Launch,8173
2015,Glimmerglass State Park,182822
2015,Hither Hills,420868
2015,Bayswater Point St Pk,14374
2015,Verona Beach State Park,178995
2015,Long Point St Pk,42615
2015,Max V Shaul Campsite,12586
2015,Mexico Point Boat Launch,14468
2015,Hunts Pond State Park,0
2015,Green Lakes State Park,1082898
2015,Oquaga State Park,51214
2015,Niagara Reservation,9296962
2015,Moreau Lake St Pk,357848
2015,H H Spencer,64574
2015,Bear Mountain St Pk,2036795
2015,Marsha P. Johnson State Park (former East River State Park until 2020),1420816
2015,Bethpage Golf Course,764426
2015,Tiorati,253957
2015,Haverstraw Beach,25599
2015,Hook Mountain,29976
2015,Macomb Reservation,27887
2015,Minekill,78367
2015,Honeoye Bt Lau,49960
2015,Orient Beach St Pk,414303
2015,Artpark,322905
2015,Genesee Valley Greenway,42777
2015,Black River Trail,76330
2015,Washington Headquarters,21788
2015,Great Chazy Boat Launch,19740
2015,Minnewaska Park,367965
2015,Mary Island River Park,1862
2015,Grafton Lakes St Pk,252499
2015,Valley Stream St Pk,255308
2015,Wehle State Park,79241
2015,Montauk Downs,87255
2015,Beaver Island,305861
2015,Oak Orchard Boat Launch,9143
2015,Olana,171218
2015,Big 6 Marina,90432
2015,Lorenzo,51551
2015,Goosepond Mountain,4726
2015,Grants Cottage,11429
2015,Indian Hills Golf Course,0
2015,Beechwood,0
2015,Waterson Point Docking,1692
2015,Walkway Over The Hudson,449283
2015,Betty And Wilbur Davis State Park,16000
2015,Nyack Beach St Pk,140088
2015,Whetstone Gulf,120099
2015,Old Croton Aqueduct,1129836
2015,Trailview,138030
2015,Higley Flow St Park,51686
2015,Golden Hill St Pk,78723
2015,Montauk Point,728090
2015,Herkimer Home,29471
2015,Wellesley Island St Pk,203356
2015,Grass Pnt River Park,41755
2015,Athens,0
2015,Hudson Highlands,271408
2015,Heckscher St Park,1189435
2015,Old Erie Canal,91454
2015,High Tor St Pk,22634
2015,New Windsor Cantonment,24800
2015,Hempstead Lake St Pk,303474
2015,Long Point River Park,35970
2015,Bennington Battlefield,19232
2015,Oriskany Battlefield,3701
2015,Blauvelt,27084
2015,Harriman Group Camp,160806
2015,Walt Whitman House,9152
2015,Mills Norrie St Pk,202292
2015,Highland Lakes,7060
2015,Jacques Cartier St Pk,21467
2015,Midway State Park,106596
2015,Newtown Battlefield,47218
2015,Harriman Beaver Pond,46536
2015,Hudson River Islands,0
2015,Thousand Island Admin.,0
2015,Napeague State Park,68245
2015,Genesee River Park,1670
2015,Westcott Beach St Pk,135847
2015,Ganondagan,48871
2015,Peebles Island,101647
2015,Battle Isl Golf Course,30839
2015,Belmont Lakes St Pk,653795
2015,Palisades,11567
2015,Gantry Plaza,1004475
2015,Watkins Glen St Pk,838534
2015,National Purple Heart Hall Of Honor,17255
2015,Hamlin Beach State Park,326869
2015,Harriman Hiker Trail,97201
2016,Delta Lake St Pk,202781
2016,Joseph Davis St Pk,0
2016,Nyack Beach St Pk,149481
2016,Deveaux Woods,63900
2016,Sag Harbour,23873
2016,Stony Point Battlefield,35086
2016,Lake Superior,13215
2016,Betty And Wilbur Davis State Park,25691
2016,Montauk Point,1006921
2016,Coles Creek,64865
2016,John Jay Homestead,75531
2016,Harriman Group Camp,125039
2016,Hudson Highlands,254524
2016,Buffalo Harbor St Pk & Marina,240296
2016,Clermont,114399
2016,Staatsburgh SHS,45153
2016,Westcott Beach St Pk,136133
2016,Caumsett St Pk,457105
2016,Allegany Red House Area,715179
2016,New Windsor Cantonment,31906
2016,Grass Pnt River Park,36547
2016,Storm King,15066
2016,Sampson St Pk,175672
2016,Harriman Hiker Trail,126885
2016,Wehle State Park,72830
2016,Clay Pit Ponds,33931
2016,Higley Flow St Park,48858
2016,Hempstead Lake St Pk,343512
2016,Robert H Treman St Pk,336664
2016,Lorenzo,52458
2016,Anthony Wayne,72286
2016,Oak Orchard Boat Launch,8580
2016,Bayard C. A.,289511
2016,Devils Hole,158816
2016,Buckhorn,37970
2016,Allan Treman Marina,318309
2016,Beechwood,0
2016,Steuben Memorial,0
2016,Grants Cottage,5433
2016,Camp Hero,172560
2016,Lake Welch,350558
2016,Connetquot River St Pk,232824
2016,Schodack Island,185786
2016,Indian Hills Golf Course,0
2016,National Purple Heart Hall Of Honor,26340
2016,St Lawrence Golf Course,0
2016,Robert Moses St Pk,4257360
2016,Robert Moses St Pk,92123
2016,Max V Shaul Campsite,19313
2016,Canadarago Boat Lnch,19461
2016,Deans Cove Boat Launch,17795
2016,Heckscher St Park,1008730
2016,Harriman Beaver Pond,67689
2016,Rock Island,6585
2016,Jones Beach,5910338
2016,Belmont Lakes St Pk,840374
2016,Saratoga Lake Boat Lnch,115781
2016,Chenango Valley St Pk,198082
2016,Buttermilk Falls St Pk,246249
2016,Bethpage Golf Course,821888
2016,Lakeside Beach St Pk,86310
2016,Macomb Reservation,25799
2016,Bennington Battlefield,30589
2016,Crown Point,28803
2016,Rudd Pond,22171
2016,Haverstraw Beach,22067
2016,Canadaigua Btlau Ontrio,44831
2016,Midway State Park,91494
2016,Cold Spring Harbor,165197
2016,Hamlin Beach State Park,360788
2016,Stony Brook St Pk,212655
2016,Rockland Lake State Park,547498
2016,Bayswater Point St Pk,20397
2016,Walkway Over The Hudson,547722
2016,Hunts Pond State Park,0
2016,Johnson Hall,61247
2016,Marsha P. Johnson State Park (former East River State Park until 2020),1624944
2016,Seneca Lake St Pk,203580
2016,Battle Isl Golf Course,32207
2016,Lake Taghkanic St Park,223976
2016,Valley Stream St Pk,287504
2016,Niagara Reservation,9529325
2016,Coxsackie,0
2016,Sam's Point,62769
2016,Copake Falls,198190
2016,Roberto Clemente,620811
2016,Great Chazy Boat Launch,19004
2016,Walt Whitman House,8890
2016,Crailo,11353
2016,Napeague State Park,70070
2016,Saratoga Springs,2282427
2016,Chaumont Boat Launch,46875
2016,Wilson Hill Boat Launch,8798
2016,Nissequogue River,162815
2016,Hudson River Islands,0
2016,Darien Lakes State Park,78172
2016,Verona Beach State Park,117378
2016,Sackets Harbor Btl Field,82547
2016,Clinton House,0
2016,Washington Headquarters,26391
2016,Sandy Island Beach,32327
2016,Rockefeller Preserve,453475
2016,Newtown Battlefield,58876
2016,Wilson Tuscarora St Pk,201059
2016,Knox Farm Sp,155625
2016,Burnham Pnt River Park,11346
2016,Sterling Forest,333204
2016,Green Lakes State Park,984755
2016,Moreau Lake St Pk,366567
2016,Caleb Smith State Park,38906
2016,Cumberland Bay St Pk,53678
2016,Stony Creek,28505
2016,Keewaydin St Park,55546
2016,Conesus Lake Boat Launch,24958
2016,Beaver Island,335068
2016,Planting Fields A,197858
2016,Orient Beach St Pk,334627
2016,Minekill,113355
2016,John Boyd Thacher Pk,579380
2016,Tallman Mountain St Pk,353483
2016,Genesee Valley Greenway,44316
2016,Chittenango Fls St Pk,75837
2016,Fort Montgomery,41293
2016,High Tor St Pk,49340
2016,Artpark,292307
2016,Silver Lake,20788
2016,Pixley Falls State Park,28610
2016,Captree St Pk,1416791
2016,Jacques Cartier St Pk,22966
2016,Cedar Island River Park,1781
2016,Black River Trail,68706
2016,Braddock Bay,41220
2016,Chittengo Lndg,0
2016,Appalachian Trail,17009
2016,Woodlawn Beach,0
2016,F D Roosevelt,498682
2016,H H Spencer,56809
2016,Long Point St Pk,40432
2016,Springbrook Greens,0
2016,Lodi Point Marina/Boat,38730
2016,Oquaga State Park,53265
2016,Point Au Roche,80645
2016,Dewolf Point,17288
2016,Gilbert Lake St Pk,98893
2016,Brentwood Sp,978891
2016,Mexico Point Boat Launch,16019
2016,Fillmore Glen St Pk,96226
2016,Bear Mountain St Pk,2173972
2016,Tiorati,251659
2016,Finger Lakes Admin.,0
2016,Taconic Outdoor Education Center,13899
2016,Sebago Lake,149568
2016,Knox Headquarters,13555
2016,Wellesley Island St Pk,211093
2016,James Baird,131403
2016,Ft. Niagara Boat Launch,319
2016,Bonavista Golf Course,0
2016,Southwick Beach St Pk,136227
2016,Philipse Manor,27595
2016,Selkirk Shores,107911
2016,Whirlpool,364528
2016,Mills Norrie St Pk,203952
2016,Peebles Island,137858
2016,Honeoye Bt Lau,54472
2016,Kring Point,58546
2016,Thompson Lake St Pk,62633
2016,Cherry Plain St Pk,14609
2016,Ganondagan,54420
2016,Ft Niagara,830538
2016,Oriskany Battlefield,4431
2016,Bowman Lake St Pk,50213
2016,Long Point River Park,39537
2016,Watkins Glen St Pk,904153
