Name,Category,Region,County,Golf,Camp,Playground,Nature Center,Beach,Longitude,Latitude
Palisades,State Park,8,Rockland,N,N,N,N,N,-73.9035443708,41.0000423858
Parrot Hall,State Historic Site,4,Ontario,N,N,N,N,N,-77.0088142477,42.8767739578
Peebles Island,State Park,11,Saratoga,N,N,N,N,N,-73.6845492304,42.7823213594
Peter Jay,Other,7,Westchester,N,N,N,N,N,-73.7058775486,40.9569460139
Philipse Manor Hall,State Historic Site,7,Westchester,N,N,N,N,N,-73.8993128614,40.9355500517
Pinnacle,State Park,4,Steuben,Y,N,N,N,N,-77.2145609228,42.0973529692
Pixley Falls,State Park,5,Oneida,N,Y,N,N,N,-75.3414755523,43.4043184536
Planting Fields Arboretum,State Historic Park,9,Nassau,N,N,N,Y,N,-73.5572253299,40.8621752807
Point Au Roche,State Park,10,Clinton,N,N,Y,Y,Y,-73.3876934712,44.7784004295
Point Au Roche Boat Launch,Marine Facility,10,Clinton,N,N,N,N,N,-73.3643906755,44.8029711522
Quiet Cove Riverfront Park,Other,7,Dutchess,N,N,N,N,N,-73.93449945,41.7332253868
Reservoir,State Park,1,Niagara,N,N,Y,N,N,-79.0150381473,43.1340115441
Rexford Aqueduct,State Historic Site,11,Sara/Schen,N,N,N,N,N,-73.8876764506,42.8492649622
Riverbank,State Park,12,Manhattan,N,N,Y,N,N,-73.9568541697,40.8255348249
Robert H. Treman,State Park,4,Tompkins,N,Y,Y,N,Y,-76.5795442076,42.4005756394
Robert Moses,State Park,9,Suffolk,Y,N,Y,N,Y-M,-73.2651424363,40.6235177464
Robert Moses,State Park,10,St. Lawrence,N,N,Y,N,Y,-74.8273503481,45.0006401225
Robert V. Riddell,State Park,5,Otsego,N,N,N,N,N,-74.9371075745,42.4762545082
Robert Wehle,State Park,10,Jefferson,N,N,N,N,N,-76.2755003184,43.8671690839
Roberto Clemente,State Park,12,Bronx,N,N,Y,N,N,-73.9200427364,40.8553636655
Rock Island Lighthouse,State Park,10,Jefferson,N,N,N,N,N,-76.0167955672,44.2803113504
Rockefeller Park Preserve,State Park,7,Westchester,N,N,N,N,N,-73.8325399895,41.1096930853
Rockland Lake,State Park,8,Rockland,Y,N,N,Y,N,-73.9219192445,41.1362106822
Sackets Harbor,State Historic Site,10,Jefferson,N,N,N,N,N,-76.129780271,43.9463098277
Sag Harbor,State Park,9,Suffolk,Y,N,N,N,N,-72.2605666428,40.9970245166
Sampson,State Park,4,Seneca,N,Y,Y,N,Y,-76.9013257035,42.7254900187
Sandy Island Beach,State Park,5,Oswego,N,N,N,N,Y,-76.1956650041,43.6309316052
Saratoga Lake Marine Park,Marine Facility,11,Saratoga,N,N,N,N,N,-73.7204315347,43.0535053108
Saratoga Spa,State Park,11,Saratoga,Y,N,Y,N,N,-73.8039355929,43.0508914472
Schodack Island,State Park,11,Alb/Rens,N,N,Y,N,N,-73.7765204362,42.4905990224
Schoharie Crossing,State Historic Site,11,Montgomery,N,N,Y,N,N,-74.2675702789,42.9493448538
Schunnemunk Mountain,State Park,8,Orange,N,N,N,N,N,-74.1027172519,41.4021107609
Schuyler Mansion,State Historic Site,11,Albany,N,N,N,N,N,-73.7592869931,42.6413229736
Selkirk Shores,State Park,5,Oswego,N,Y,Y,N,Y,-76.1984400233,43.5556620105
Senate House,State Historic Site,8,Orange,N,N,N,N,N,-74.0188842412,41.9349364666
Seneca Lake,State Park,4,Ont/Sen,N,N,Y,N,Y,-76.9545497708,42.8739500967
Shadmoor,State Park,9,Suffolk,N,N,N,N,N,-71.9277281182,41.0386809843
Silver Lake,State Park,3,Wyoming,N,N,N,N,N,-78.0565609783,42.6792542189
Sonnenberg Gardens and Mansion,State Historic Park,4,Ontario,N,N,N,N,N,-77.2721596007,42.8981467736
Southwick Beach,State Park,10,Jefferson,N,Y,Y,N,Y-M,-76.2046003266,43.7632912666
St. Lawrence,State Park,10,St. Lawrence,Y,N,N,N,N,-75.5765698357,44.6298363383
Staatsburgh,State Historic Site,7,Dutchess,N,N,N,N,N,-73.9299489021,41.8566275388
State Park at the Fair,Other,5,Onondaga,N,N,N,N,N,-76.2169659143,43.0711046317
Sterling Forest,State Park,8,Orange,N,N,N,Y-A,N,-74.2467658789,41.2119192066
Steuben Memorial,State Historic Site,5,Oneida,N,N,N,N,N,-75.2324893011,43.3381056996
Stony Brook,State Park,4,Steuben,N,Y,Y,N,Y-M,-77.6929663929,42.5185595291
Stony Creek Boat Launch,Marine Facility,10,Jefferson,N,N,N,N,N,-76.229208226,43.8256113639
Stony Point Battlefield,State Historic Site,8,Rockland,N,N,N,N,N,-73.9763734973,41.2410903919
Storm King,State Park,8,Orange,N,N,N,N,N,-73.991346402,41.425644491
Strawberry Island,Other,1,Erie,N,N,N,N,N,-78.9224974212,42.9539490596
Susan B Anthony,Other,11,Washington,N,N,N,N,N,-73.423119782,43.1105299662
Taconic,State Park,7,Dutchess,N,N,Y,Y,Y-M,-73.5174392806,42.0778638556
Tallman Mountain,State Park,8,Rockland,N,N,Y,N,N,-73.9103313153,41.026422676
Taughannock Falls,State Park,4,Tompkins,N,Y,Y,N,Y,-76.6097670832,42.5407382384
Taxter Ridge,Other,7,Westchester,N,N,N,N,N,-73.8387767742,41.0551193933
Thompson's Lake,State Park,11,Albany,N,Y,Y,N,Y,-74.046979934,42.6557310802
Trail View,State Park,9,Nassau,N,N,N,N,N,-73.470168754,40.8141101008
Two Rivers,State Park,4,Tioga,N,N,N,N,N,-76.5473199933,42.0251635453
Valley Stream,State Park,9,Nassau,N,N,Y,N,N,-73.6942502018,40.678766026
Verona Beach,State Park,5,Oneida,N,Y,Y,N,Y,-75.716586586,43.178008249
Walkway over the Hudson,State Historic Park,7,Dutchess,N,N,N,N,N,-73.9449508899,41.7105870004
Walt Whitman Birthplace,State Historic Site,9,Suffolk,N,N,N,N,N,-73.4117645186,40.8171750838
Washington's Headquarters,State Historic Site,8,Orange,N,N,N,N,N,-74.0096075788,41.4977050471
Waterson Point,State Park,10,Jefferson,N,N,N,N,N,-76.0100758633,44.3391781774
Watkins Glen,State Park,4,Schuyler,N,Y,Y,N,N,-76.9001337586,42.3675397399
Wellesley Island,State Park,10,Jefferson,Y,Y,Y,Y,Y,-76.0154482065,44.3292380029
Westcott Beach,State Park,10,Jefferson,N,Y,Y,N,Y-M,-76.118017026,43.8969804832
Whetstone Gulf,State Park,10,Lewis,N,N,Y,N,Y,-75.4774154637,43.6985075739
Whirlpool,State Park,1,Niagara,N,N,Y,N,N,-79.0634179678,43.1204004767
Wildwood,State Park,9,Suffolk,N,Y,Y,N,Y,-72.7945734139,40.9604999599
Wilson Hill Boat Launch,Marine Facility,10,St. Lawrence,N,N,N,N,N,-75.0069996446,44.9290287191
Wilson-Tuscarora,State Park,1,Niagara,N,N,Y,N,Y,-78.8556088836,43.3037772926
Wonder Lake,State Park,7,Putnam,N,N,N,N,N,-73.6465863149,41.4919031611
Woodlawn Beach,State Park,1,Erie,N,N,Y,N,Y,-78.8522078489,42.7938189008
