Year,Facility,Attendance,LastAttendance
2011,Grafton Lakes ,220714,220952.0
2010,Grafton Lakes ,220952,0.0
2009,Grafton Lakes ,198281,174324.0
2008,Grafton Lakes ,174324,173702.0
2007,Grafton Lakes ,173702,164637.0
2006,Grafton Lakes ,164637,169876.0
2005,Grafton Lakes ,169876,159268.0
2004,Grafton Lakes ,159268,154490.0
2003,Grafton Lakes ,154490,5411.0
2020,Grants Cottage,5411,5008.0
2019,Grants Cottage,5008,7585.0
2018,Grants Cottage,7585,6574.0
2017,Grants Cottage,6574,5433.0
2016,Grants Cottage,5433,11429.0
2015,Grants Cottage,11429,4780.0
2014,Grants Cottage,4780,5000.0
2013,Grants Cottage,5000,4367.0
2012,Grants Cottage,4367,3344.0
2011,Grants Cottage,3344,3458.0
2010,Grants Cottage,3458,0.0
2009,Grants Cottage,3034,2559.0
2008,Grants Cottage,2559,2393.0
2007,Grants Cottage,2393,2488.0
2006,Grants Cottage,2488,2318.0
2005,Grants Cottage,2318,44.0
2004,Grants Cottage,44,0.0
2003,Grants Cottage,0,36486.0
2020,Grass Pnt River ,36486,36632.0
2019,Grass Pnt River ,36632,42489.0
2018,Grass Pnt River ,42489,33954.0
2017,Grass Pnt River ,33954,36547.0
2016,Grass Pnt River ,36547,41755.0
2015,Grass Pnt River ,41755,38109.0
2014,Grass Pnt River ,38109,39206.0
2013,Grass Pnt River ,39206,41804.0
2012,Grass Pnt River ,41804,39128.0
2011,Grass Pnt River ,39128,39214.0
2010,Grass Pnt River ,39214,0.0
2009,Grass Pnt River ,37349,36567.0
2008,Grass Pnt River ,36567,38238.0
2007,Grass Pnt River ,38238,35098.0
2006,Grass Pnt River ,35098,38629.0
2005,Grass Pnt River ,38629,33809.0
2004,Grass Pnt River ,33809,31902.0
2003,Grass Pnt River ,31902,16564.0
2020,Great Chazy Boat Launch,16564,16314.0
2019,Great Chazy Boat Launch,16314,18183.0
2018,Great Chazy Boat Launch,18183,16750.0
2017,Great Chazy Boat Launch,16750,19004.0
2016,Great Chazy Boat Launch,19004,19740.0
2015,Great Chazy Boat Launch,19740,17225.0
2014,Great Chazy Boat Launch,17225,26193.0
2013,Great Chazy Boat Launch,26193,21545.0
2012,Great Chazy Boat Launch,21545,13212.0
2011,Great Chazy Boat Launch,13212,14997.0
2010,Great Chazy Boat Launch,14997,0.0
2009,Great Chazy Boat Launch,14542,13553.0
2008,Great Chazy Boat Launch,13553,15361.0
2007,Great Chazy Boat Launch,15361,23117.0
2006,Great Chazy Boat Launch,23117,29979.0
2005,Great Chazy Boat Launch,29979,25016.0
2004,Great Chazy Boat Launch,25016,24388.0
2003,Great Chazy Boat Launch,24388,2148775.0
2020,Green Lakes State ,2148775,1103261.0
2019,Green Lakes State ,1103261,1101679.0
2018,Green Lakes State ,1101679,829713.0
2017,Green Lakes State ,829713,984755.0
2016,Green Lakes State ,984755,1082898.0
2015,Green Lakes State ,1082898,1079160.0
2014,Green Lakes State ,1079160,1122949.0
2013,Green Lakes State ,1122949,957959.0
2012,Green Lakes State ,957959,905867.0
2011,Green Lakes State ,905867,891557.0
2010,Green Lakes State ,891557,0.0
2009,Green Lakes State ,848281,847567.0
2008,Green Lakes State ,847567,835444.0
2007,Green Lakes State ,835444,798179.0
2006,Green Lakes State ,798179,808147.0
2005,Green Lakes State ,808147,827467.0
2004,Green Lakes State ,827467,788159.0
2003,Green Lakes State ,788159,62963.0
2020,Hallock  Preserve,62963,24826.0
2019,Hallock  Preserve,24826,22261.0
2018,Hallock  Preserve,22261,19719.0
2017,Hallock  Preserve,19719,384196.0
